date,county,state,fips,cases,deaths
7/25/20,Appling,Georgia,13001,486,16
7/25/20,Atkinson,Georgia,13003,264,2
7/25/20,Bacon,Georgia,13005,378,5
7/25/20,Baker,Georgia,13007,50,3
7/25/20,Baldwin,Georgia,13009,822,37
7/25/20,Banks,Georgia,13011,203,3
7/25/20,Barrow,Georgia,13013,910,32
7/25/20,Bartow,Georgia,13015,1318,51
7/25/20,Ben Hill,Georgia,13017,297,1
7/25/20,Berrien,Georgia,13019,224,0
7/25/20,Bibb,Georgia,13021,2660,52
7/25/20,Bleckley,Georgia,13023,114,3
7/25/20,Brantley,Georgia,13025,196,3
7/25/20,Brooks,Georgia,13027,308,13
7/25/20,Bryan,Georgia,13029,461,6
7/25/20,Bulloch,Georgia,13031,903,10
7/25/20,Burke,Georgia,13033,316,7
7/25/20,Butts,Georgia,13035,402,36
7/25/20,Calhoun,Georgia,13037,180,6
7/25/20,Camden,Georgia,13039,486,4
7/25/20,Candler,Georgia,13043,171,1
7/25/20,Carroll,Georgia,13045,1511,42
7/25/20,Catoosa,Georgia,13047,447,8
7/25/20,Charlton,Georgia,13049,254,3
7/25/20,Chatham,Georgia,13051,4154,48
7/25/20,Chattahoochee,Georgia,13053,507,1
7/25/20,Chattooga,Georgia,13055,134,2
7/25/20,Cherokee,Georgia,13057,2419,52
7/25/20,Clarke,Georgia,13059,1439,15
7/25/20,Clay,Georgia,13061,69,2
7/25/20,Clayton,Georgia,13063,3948,92
7/25/20,Clinch,Georgia,13065,157,4
7/25/20,Cobb,Georgia,13067,10009,287
7/25/20,Coffee,Georgia,13069,1184,22
7/25/20,Colquitt,Georgia,13071,1405,21
7/25/20,Columbia,Georgia,13073,1439,18
7/25/20,Cook,Georgia,13075,334,5
7/25/20,Coweta,Georgia,13077,1168,17
7/25/20,Crawford,Georgia,13079,81,0
7/25/20,Crisp,Georgia,13081,349,14
7/25/20,Dade,Georgia,13083,95,1
7/25/20,Dawson,Georgia,13085,229,3
7/25/20,DeKalb,Georgia,13089,11025,206
7/25/20,Decatur,Georgia,13087,496,8
7/25/20,Dodge,Georgia,13091,195,2
7/25/20,Dooly,Georgia,13093,230,14
7/25/20,Dougherty,Georgia,13095,2451,162
7/25/20,Douglas,Georgia,13097,2027,46
7/25/20,Early,Georgia,13099,326,31
7/25/20,Echols,Georgia,13101,217,0
7/25/20,Effingham,Georgia,13103,524,1
7/25/20,Elbert,Georgia,13105,279,1
7/25/20,Emanuel,Georgia,13107,324,4
7/25/20,Evans,Georgia,13109,150,1
7/25/20,Fannin,Georgia,13111,229,2
7/25/20,Fayette,Georgia,13113,788,23
7/25/20,Floyd,Georgia,13115,1017,15
7/25/20,Forsyth,Georgia,13117,1597,16
7/25/20,Franklin,Georgia,13119,321,3
7/25/20,Fulton,Georgia,13121,15649,372
7/25/20,Gilmer,Georgia,13123,421,3
7/25/20,Glascock,Georgia,13125,19,0
7/25/20,Glynn,Georgia,13127,2083,19
7/25/20,Gordon,Georgia,13129,802,21
7/25/20,Grady,Georgia,13131,346,4
7/25/20,Greene,Georgia,13133,203,11
7/25/20,Gwinnett,Georgia,13135,15134,216
7/25/20,Habersham,Georgia,13137,931,48
7/25/20,Hall,Georgia,13139,4845,71
7/25/20,Hancock,Georgia,13141,255,34
7/25/20,Haralson,Georgia,13143,162,6
7/25/20,Harris,Georgia,13145,551,14
7/25/20,Hart,Georgia,13147,198,0
7/25/20,Heard,Georgia,13149,118,3
7/25/20,Henry,Georgia,13151,2547,38
7/25/20,Houston,Georgia,13153,1466,40
7/25/20,Irwin,Georgia,13155,124,1
