fips code,state,county,2013 NCHS scheme
13001 ...... ,GA ,Appling County ,Noncore 
13003 ...... ,GA ,Atkinson County ,Noncore 
13005 ...... ,GA ,Bacon County ,Noncore 
13007 ...... ,GA ,Baker County ,Small metro 
13009 ...... ,GA ,Baldwin County ,Micropolitan 
13011 ...... ,GA ,Banks County ,Noncore 
13013 ...... ,GA ,Barrow County ,Large fringe metro 
13015 ...... ,GA ,Bartow County ,Large fringe metro 
13017 ...... ,GA ,Ben Hill County ,Micropolitan 
13019 ...... ,GA ,Berrien County ,Noncore 
13021 ...... ,GA ,Bibb County ,Small metro 
13023 ...... ,GA ,Bleckley County ,Noncore 
13025 ...... ,GA ,Brantley County ,Small metro 
13027 ...... ,GA ,Brooks County ,Small metro 
13029 ...... ,GA ,Bryan County ,Medium metro 
13031 ...... ,GA ,Bulloch County ,Micropolitan 
13033 ...... ,GA ,Burke County ,Medium metro 
13035 ...... ,GA ,Butts County ,Large fringe metro 
13037 ...... ,GA ,Calhoun County ,Noncore 
13039 ...... ,GA ,Camden County ,Micropolitan 
13043 ...... ,GA ,Candler County ,Noncore 
13045 ...... ,GA ,Carroll County ,Large fringe metro 
13047 ...... ,GA ,Catoosa County ,Medium metro 
13049 ...... ,GA ,Charlton County ,Noncore 
13051 ...... ,GA ,Chatham County ,Medium metro 
13053 ...... ,GA ,Chattahoochee County ,Medium metro 
13055 ...... ,GA ,Chattooga County ,Micropolitan 
13057 ...... ,GA ,Cherokee County ,Large fringe metro 
13059 ...... ,GA ,Clarke County ,Small metro 
13061 ...... ,GA ,Clay County ,Noncore 
13063 ...... ,GA ,Clayton County ,Large fringe metro 
13065 ...... ,GA ,Clinch County ,Noncore 
13067 ...... ,GA ,Cobb County ,Large fringe metro 
13069 ...... ,GA ,Coffee County ,Micropolitan 
13071 ...... ,GA ,Colquitt County ,Micropolitan 
13073 ...... ,GA ,Columbia County ,Medium metro 
13075 ...... ,GA ,Cook County ,Noncore 
13077 ...... ,GA ,Coweta County ,Large fringe metro 
13079 ...... ,GA ,Crawford County ,Small metro 
13081 ...... ,GA ,Crisp County ,Micropolitan 
13083 ...... ,GA ,Dade County ,Medium metro 
13085 ...... ,GA ,Dawson County ,Large fringe metro 
13087 ...... ,GA ,Decatur County ,Micropolitan 
13089 ...... ,GA ,DeKalb County ,Large fringe metro 
13091 ...... ,GA ,Dodge County ,Noncore 
13093 ...... ,GA ,Dooly County ,Noncore 
13095 ...... ,GA ,Dougherty County ,Small metro 
13097 ...... ,GA ,Douglas County ,Large fringe metro 
13099 ...... ,GA ,Early County ,Noncore 
13101 ...... ,GA ,Echols County ,Small metro 
13103 ...... ,GA ,Effingham County ,Medium metro 
13105 ...... ,GA ,Elbert County ,Noncore 
13107 ...... ,GA ,Emanuel County ,Noncore 
13109 ...... ,GA ,Evans County ,Noncore 
13111 ...... ,GA ,Fannin County ,Noncore 
13113 ...... ,GA ,Fayette County ,Large fringe metro 
13115 ...... ,GA ,Floyd County ,Small metro 
13117 ...... ,GA ,Forsyth County ,Large fringe metro 
13119 ...... ,GA ,Franklin County ,Noncore 
13121 ...... ,GA ,Fulton County ,Large central metro 
13123 ...... ,GA ,Gilmer County ,Noncore 
13125 ...... ,GA ,Glascock County ,Noncore 
13127 ...... ,GA ,Glynn County ,Small metro 
13129 ...... ,GA ,Gordon County ,Micropolitan 
13131 ...... ,GA ,Grady County ,Noncore 
13133 ...... ,GA ,Greene County ,Noncore 
13135 ...... ,GA ,Gwinnett County ,Large fringe metro 
13137 ...... ,GA ,Habersham County ,Micropolitan 
13139 ...... ,GA ,Hall County ,Small metro 
13141 ...... ,GA ,Hancock County ,Micropolitan 
13143 ...... ,GA ,Haralson County ,Large fringe metro 
13145 ...... ,GA ,Harris County ,Medium metro 
13147 ...... ,GA ,Hart County ,Noncore 
13149 ...... ,GA ,Heard County ,Large fringe metro 
13151 ...... ,GA ,Henry County ,Large fringe metro 
13153 ...... ,GA ,Houston County ,Small metro 
13155 ...... ,GA ,Irwin County ,Noncore 
13157 ...... ,GA ,Jackson County ,Micropolitan 
13159 ...... ,GA ,Jasper County ,Large fringe metro 
13161 ...... ,GA ,Jeff Davis County ,Noncore 
13163 ...... ,GA ,Jefferson County ,Noncore 
13165 ...... ,GA ,Jenkins County ,Noncore 
13167 ...... ,GA ,Johnson County ,Micropolitan 
13169 ...... ,GA ,Jones County ,Small metro 
13171 ...... ,GA ,Lamar County ,Large fringe metro 
13173 ...... ,GA ,Lanier County ,Small metro 
13175 ...... ,GA ,Laurens County ,Micropolitan 
13177 ...... ,GA ,Lee County ,Small metro 
13179 ...... ,GA ,Liberty County ,Small metro 
13181 ...... ,GA ,Lincoln County ,Medium metro 
13183 ...... ,GA ,Long County ,Small metro 
13185 ...... ,GA ,Lowndes County ,Small metro 
13187 ...... ,GA ,Lumpkin County ,Noncore 
13189 ...... ,GA ,McDuffie County ,Medium metro 
13191 ...... ,GA ,McIntosh County ,Small metro 
13193 ...... ,GA ,Macon County ,Noncore 
13195 ...... ,GA ,Madison County ,Small metro 
13197 ...... ,GA ,Marion County ,Medium metro 
13199 ...... ,GA ,Meriwether County ,Large fringe metro 
13201 ...... ,GA ,Miller County ,Noncore 
13205 ...... ,GA ,Mitchell County ,Noncore 
13207 ...... ,GA ,Monroe County ,Small metro 
13209 ...... ,GA ,Montgomery County ,Micropolitan 
13211 ...... ,GA ,Morgan County ,Large fringe metro 
13213 ...... ,GA ,Murray County ,Small metro 
13215 ...... ,GA ,Muscogee County ,Medium metro 
13217 ...... ,GA ,Newton County ,Large fringe metro 
13219 ...... ,GA ,Oconee County ,Small metro 
13221 ...... ,GA ,Oglethorpe County ,Small metro 
13223 ...... ,GA ,Paulding County ,Large fringe metro 
13225 ...... ,GA ,Peach County ,Small metro 
13227 ...... ,GA ,Pickens County ,Large fringe metro 
13229 ...... ,GA ,Pierce County ,Micropolitan 
13231 ...... ,GA ,Pike County ,Large fringe metro 
13233 ...... ,GA ,Polk County ,Micropolitan 
13235 ...... ,GA ,Pulaski County ,Small metro 
13237 ...... ,GA ,Putnam County ,Noncore 
13239 ...... ,GA ,Quitman County ,Noncore 
13241 ...... ,GA ,Rabun County ,Noncore 
13243 ...... ,GA ,Randolph County ,Noncore 
13245 ...... ,GA ,Richmond County ,Medium metro 
13247 ...... ,GA ,Rockdale County ,Large fringe metro 
13249 ...... ,GA ,Schley County ,Micropolitan 
13251 ...... ,GA ,Screven County ,Noncore 
13253 ...... ,GA ,Seminole County ,Noncore 
13255 ...... ,GA ,Spalding County ,Large fringe metro 
13257 ...... ,GA ,Stephens County ,Micropolitan 
13259 ...... ,GA ,Stewart County ,Noncore 
13261 ...... ,GA ,Sumter County ,Micropolitan 
13263 ...... ,GA ,Talbot County ,Noncore 
13265 ...... ,GA ,Taliaferro County ,Noncore 
13267 ...... ,GA ,Tattnall County ,Noncore 
13269 ...... ,GA ,Taylor County ,Noncore 
13271 ...... ,GA ,Telfair County ,Noncore 
13273 ...... ,GA ,Terrell County ,Small metro 
13275 ...... ,GA ,Thomas County ,Micropolitan 
13277 ...... ,GA ,Tift County ,Micropolitan 
13279 ...... ,GA ,Toombs County ,Micropolitan 
13281 ...... ,GA ,Towns County ,Noncore 
13283 ...... ,GA ,Treutlen County ,Noncore 
13285 ...... ,GA ,Troup County ,Micropolitan 
13287 ...... ,GA ,Turner County ,Noncore 
13289 ...... ,GA ,Twiggs County ,Small metro 
13291 ...... ,GA ,Union County ,Noncore 
13293 ...... ,GA ,Upson County ,Micropolitan 
13295 ...... ,GA ,Walker County ,Medium metro 
13297 ...... ,GA ,Walton County ,Large fringe metro 
13299 ...... ,GA ,Ware County ,Micropolitan 
13301 ...... ,GA ,Warren County ,Noncore 
13303 ...... ,GA ,Washington County ,Noncore 
13305 ...... ,GA ,Wayne County ,Micropolitan 
13307 ...... ,GA ,Webster County ,Noncore 
13309 ...... ,GA ,Wheeler County ,Noncore 
13311 ...... ,GA ,White County ,Noncore 
13313 ...... ,GA ,Whitfield County ,Small metro 
13315 ...... ,GA ,Wilcox County ,Noncore 
13317 ...... ,GA ,Wilkes County ,Noncore 
13319 ...... ,GA ,Wilkinson County ,Noncore 
13321 ...... ,GA ,Worth County ,Small metro 
