,date,fips,cases,deaths,Jan Temp AVG / F,Feb Temp AVG / F,Mar Temp AVG / F,Apr Temp AVG / F,May Temp AVG / F,Jun Temp AVG / F,Jul Temp AVG / F,Aug Temp AVG / F,Sep Temp AVG / F,Oct Temp AVG / F,Nov Temp AVG / F,Dec Temp AVG / F,FIPS,Density per square mile of land area - Population,Total_age0to17,Total_age85plusr,Total_age65plus,Total_age18to64,Percent of adults with a bachelor's degree or higher 2014-18,Less than a high school diploma 2014-18,Unemployment_rate_2018,Median_Household_Income_2018,Active Physicians per 100000 Population 2018 (AAMC),MD and DO Student Enrollment per 100000 Population AY 2018-2019 (AAMC),Total nurse practitioners (2019),ICU Beds,transit_scores - population weighted averages aggregated from town/city level to county,fips code,state,county,2013 NCHS scheme,High_risk_by_deaths,High_risk_by_cases
0,7/25/20,13001,486,16,51.5,59.8,59.8,67.6,78.2,80.8,83.0,82.2,79.6,71.6,54.7,54.0,13001,36.0,4574.0,327.0,3189.0,10744.0,9.7,3148,4.3,42781.0,228.7,28.6,8.471069611,3.0,0.0,13001,GA ,Appling County ,Noncore ,1,1
1,7/25/20,13003,264,2,51.3,60.5,59.6,67.0,77.4,80.5,82.2,81.8,79.2,71.7,54.7,54.4,13003,24.7,2183.0,88.0,1167.0,4947.0,9.9,1615,3.5,36779.0,228.7,28.6,3.79772327,0.0,0.0,13003,GA ,Atkinson County ,Noncore ,0,0
2,7/25/20,13005,378,5,51.4,60.2,59.9,67.5,78.1,80.9,82.9,82.0,79.3,71.3,54.7,54.2,13005,42.9,2850.0,155.0,1794.0,6541.0,10.1,1372,3.8,38775.0,228.7,28.6,5.119625742,4.0,0.0,13005,GA ,Bacon County ,Noncore ,0,1
3,7/25/20,13007,50,3,50.9,60.8,59.9,67.2,78.3,81.1,82.0,81.9,81.0,73.1,56.1,55.2,13007,10.1,598.0,97.0,696.0,1798.0,12.3,503,5.1,38288.0,228.7,28.6,1.4152778540000002,0.0,0.0,13007,GA ,Baker County ,Small metro ,0,0
4,7/25/20,13009,822,37,48.0,55.2,56.0,63.6,75.8,78.5,81.8,81.8,80.0,70.1,52.6,51.8,13009,177.3,8411.0,735.0,7177.0,29235.0,20.9,4375,5.0,42727.0,228.7,28.6,20.51649393,12.0,0.0,13009,GA ,Baldwin County ,Micropolitan ,1,1
5,7/25/20,13011,203,3,43.6,50.3,51.8,61.4,73.2,74.6,79.5,78.3,77.3,66.1,50.1,48.3,13011,79.3,4238.0,242.0,3321.0,11429.0,12.8,2937,3.1,55384.0,228.7,28.6,8.691234116,0.0,0.0,13011,GA ,Banks County ,Noncore ,0,0
6,7/25/20,13013,910,32,43.7,50.5,52.1,61.7,73.5,75.1,79.8,78.5,77.8,66.1,50.5,48.7,13013,432.7,20962.0,943.0,10058.0,49789.0,17.6,8524,3.3,61413.0,228.7,28.6,36.98809446,6.0,0.0,13013,GA ,Barrow County ,Large fringe metro ,1,1
7,7/25/20,13015,1318,51,42.3,50.6,51.3,61.3,72.7,75.0,79.8,79.1,78.6,65.6,48.5,48.2,13015,217.9,25682.0,1377.0,14916.0,65810.0,19.5,11720,3.8,57409.0,228.7,28.6,48.70533178,21.0,0.0,13015,GA ,Bartow County ,Large fringe metro ,1,1
8,7/25/20,13017,297,1,50.9,59.7,58.7,67.0,77.5,80.2,82.2,81.9,80.0,72.0,54.8,54.6,13017,70.5,4140.0,298.0,2939.0,9708.0,12.0,1977,5.9,35020.0,228.7,28.6,7.683786976,5.0,0.0,13017,GA ,Ben Hill County ,Micropolitan ,0,0
9,7/25/20,13019,224,0,50.8,60.2,58.7,66.3,76.6,80.0,81.3,81.2,79.2,71.6,54.6,54.4,13019,42.7,4665.0,358.0,3292.0,11295.0,11.8,2864,4.2,39412.0,228.7,28.6,8.812072846,0.0,0.0,13019,GA ,Berrien County ,Noncore ,0,0
10,7/25/20,13021,2660,52,48.2,55.6,56.2,64.1,75.9,79.0,81.3,81.8,80.2,69.9,53.0,52.1,13021,622.8,37623.0,2871.0,23876.0,91596.0,25.7,14227,4.5,41390.0,228.7,28.6,70.07502038,117.0,,13021,GA ,Bibb County ,Small metro ,1,1
11,7/25/20,13023,114,3,49.5,57.2,57.1,65.7,76.9,79.6,82.0,81.8,79.9,71.2,53.9,53.5,13023,60.5,2620.0,306.0,2163.0,8055.0,17.2,975,5.7,46019.0,228.7,28.6,5.876240972000001,0.0,0.0,13023,GA ,Bleckley County ,Noncore ,0,0
12,7/25/20,13025,196,3,52.6,60.6,60.6,68.5,78.4,80.6,82.3,81.9,79.7,73.5,56.3,55.9,13025,41.6,4437.0,273.0,3140.0,11320.0,8.2,2510,4.5,41874.0,228.7,28.6,8.649581372,0.0,0.0,13025,GA ,Brantley County ,Small metro ,0,0
13,7/25/20,13027,308,13,51.2,61.0,59.2,66.3,76.6,80.0,80.8,81.0,79.3,72.2,55.9,55.4,13027,32.9,3380.0,248.0,3076.0,9057.0,15.2,1912,3.9,36354.0,228.7,28.6,7.100648559,0.0,0.0,13027,GA ,Brooks County ,Small metro ,1,0
14,7/25/20,13029,461,6,52.3,59.8,60.1,67.3,78.7,80.7,83.3,82.8,80.4,73.2,55.9,55.3,13029,69.3,11160.0,374.0,4050.0,22899.0,32.6,1819,3.4,79658.0,228.7,28.6,17.44334532,0.0,0.0,13029,GA ,Bryan County ,Medium metro ,0,1
